Field wcs_err tot
S01046 9 337
N12086 31 407
N32063 25 335
N38076 22 399
S12084 25 244
N09080 32 373
N15001 10 295
N12023 32 421
N12121 4 360
N38078 21 240
N38058 16 268
N23090 12 38
N32078 20 407
S01053 25 388
N32068 32 321
N52037 8 171
N32072 36 343
S15024 3 229
N35079 21 370
N15058 46 415
S12018 8 260
N07018 34 386
N43033 9 385
N01120 24 358
N18065 18 404
N21045 58 527
N29057 16 329
N43057 12 219
S29067 8 24
S01002 30 219
N18035 4 9
S21074 16 154
S12063 20 235
FH2907 7 12
N57048 12 135
N04082 40 377
N07071 61 409
S23001 5 104
S18023 4 164
N12007 13 319
N55034 9 170
S07123 32 323
N01057 41 409
S12013 10 254
S07019 20 311
N21059 27 463
N29023 3 255
S21100 4 4
FI1801 1 20
FG0501 4 8
N38066 12 280
N32058 28 329
UNEAT6 30 30
N21030 4 26
N21069 16 367
S26072 8 85
FF2501 4 4
N32039 29 539
N69040 1 42
N63038 4 76
S15006 14 189
N35057 21 328
N21077 34 371
N26064 16 318
N46051 4 169
Uflat1 3 3
N55031 8 176
N18020 28 422
N01026 28 401
S04005 8 274
S04027 17 317
S04015 13 306
N04074 40 393
N09117 8 351
S04079 49 355
N57036 10 106
N32050 14 388
N01072 34 399
N12079 19 395
N29046 36 477
N07072 56 406
FE0702 4 21
S01074 41 375
S12122 4 191
N09079 36 377
FA1802 4 21
N38033 30 526
N18002 5 324
FE0101 4 16
N26061 22 362
S15122 5 187
N26054 21 423
S07120 42 405
UFlats 50 50
U1B2E1 1 8
N15015 45 414
S07111 15 378
S29063 4 20
U2C565 2 16
N35008 12 334
N09061 49 419
S15074 49 248
N18017 35 423
N35034 24 505
N18092 16 65
N04029 9 313
N35033 23 455
N07047 31 481
N21068 20 370
U12345 6 11
N15055 45 483
N07002 21 316
N18085 38 440
N09049 32 449
N32051 14 381
S15017 14 238
N26018 35 416
S04069 70 398
N09125 12 364
N04085 38 285
N21076 34 375
N12083 35 407
N23084 33 439
S12022 4 261
N35053 13 333
S09120 30 356
N21089 32 266
N18014 29 348
N01086 12 327
N55040 8 130
N07116 20 389
N21064 12 374
S18002 9 168
S04082 36 327
S01007 8 285
N63021 1 128
U12CFC 4 24
N01111 20 103
N09116 8 190
FH2001 4 8
S21003 4 132
S09082 20 261
N15072 20 370
N57039 8 105
S18018 7 176
N57054 8 142
N60026 4 140
S12074 63 295
S26105 5 44
S04024 28 367
S09080 39 276
S18059 12 100
N35074 29 395
N46061 7 215
N12013 41 386
N12056 52 436
S26103 4 49
N40047 24 328
U90377 3 20
N35069 30 324
N18091 20 145
U00820 4 4
FJ3106 1 9
S09007 8 261
N12051 52 526
S09123 20 220
N07068 44 417
S01071 45 361
S15019 9 223
N52033 7 152
S07112 16 403
N32014 12 384
N29077 40 420
N07014 33 317
S18060 4 100
N29051 16 440
N07023 34 426
N04026 30 358
S09006 10 270
S18054 1 104
N60025 4 137
S21061 8 97
N23078 31 383
S12015 10 241
FL2903 4 24
FD1201 4 24
FD1602 4 17
N55060 13 68
N46029 12 376
N09052 32 388
N01087 8 332
N12064 28 450
N29080 28 457
N29007 12 342
N18114 4 388
N15119 4 361
S01126 33 345
N23116 6 330
N26004 1 325
N01091 9 267
S15057 5 143
N18110 1 171
FD2506 11 15
N35068 24 315
S18022 4 160
FF0206 8 8
FF1302 4 17
FE2402 4 8
N57057 8 28
S12052 4 186
N66018 1 96
S18121 4 179
N55027 14 191
S12119 10 249
N43032 9 395
S04073 64 353
N40078 8 86
N26013 12 397
N04030 12 287
S07018 18 301
FI1101 1 20
S12003 1 235
N07011 28 293
N52062 15 165
N26115 4 327
N43034 17 336
S29069 4 20
N32086 9 33
FF1605 4 4
FF2001 4 20
S15026 3 217
S15051 4 157
N01028 16 365
N26049 49 512
N23016 20 388
S12009 13 234
S01080 55 394
N18055 36 508
N29018 1 375
N38070 25 332
USZ0W2 8 8
U00FE3 8 8
N01014 12 309
FA0603 1 12
FF0202 4 8
U20041 1 1
N55052 8 144
N26019 40 433
N40033 32 466
N09014 43 311
S04033 1 154
N18005 9 399
N09113 8 371
FK2801 4 12
N07066 33 414
S07056 10 305
Utest1 4 9
N15068 23 380
N43027 8 169
N60017 4 82
S01066 52 341
S23074 18 105
FE0701 4 25
U07614 1 4
U00017 8 8
S21103 9 134
S23062 4 37
FF2002 4 16
S07082 24 297
N38057 20 292
S15013 4 212
N57024 10 194
S21060 3 79
N26072 24 327
N09124 12 377
N18070 28 394
S04088 39 282
S01061 31 338
S07022 13 338
N04078 47 385
N07004 20 343
S04015 13 306
N09078 24 370
N29061 20 325
N01063 68 404
N09114 13 416
N09013 45 314
S01086 36 353
N32064 25 334
FB1102 4 8
N26023 5 356
N15113 4 394
N26065 24 332
N29048 36 485
S18020 8 168
N43049 14 266
N29019 1 390
S01001 73 238
S04078 53 366
FK0102 1 21
N18002 5 324
N23086 24 381
S12087 8 238
N15116 8 387
N23048 33 429
N57026 12 160
N04007 24 366
N57028 8 150
N09084 33 383
N38034 37 506
S26002 4 72
N09010 36 319
N38072 24 325
N15048 60 558
N01121 17 381
N57041 8 105
N04109 4 20
S18118 5 156
N07013 32 306
N04004 12 317
N26014 16 308
S09069 28 242
N18043 59 568
N09029 13 282
FB0901 2 36
N35063 25 331
S12059 16 205
N63044 1 89
S15108 29 304
S12108 7 253
N32051 14 381
S21071 20 152
N57045 10 120
S12118 15 286
N23040 12 523
S09065 24 281
FA0704 2 8
U03F81 1 7
N46070 12 125
S21099 4 4
S01109 16 50
N23114 5 329
Utwilt 49 66
N26058 15 366
S01078 44 390
S23108 5 91
S01128 22 295
N35077 20 377
S01081 40 355
S01090 24 358
N32049 16 424
N26030 4 8
N09057 49 393
N04127 21 316
N55058 17 158
FH2002 4 8
N32073 28 357
N15064 35 440
S18002 9 168
U01235 4 4
S01017 17 327
N18003 4 336
FI1702 1 16
S09114 8 359
N07009 24 337
N01125 24 356
FH2001 4 8
S07026 20 316
S07080 31 299
N09077 24 373
FF1601 4 21
N38065 8 279
N15002 12 224
N21023 5 350
UNEAT3 2 2
FK0801 1 12
S12074 63 295
N66039 4 85
N23042 20 530
S15121 5 180
N09127 13 299
S01089 28 368
N04081 44 365
N15052 68 519
S12020 9 256
N55048 8 128
N21044 72 532
S01011 8 301
N55023 10 251
S07066 25 278
S15003 4 193
N01045 13 361
N15053 40 446
N01070 46 364
N04001 32 299
N21055 36 507
N38041 16 385
FJ3106 1 9
N09026 21 446
U01239 2 2
U007D7 3 15
S07109 11 153
N38052 11 330
N23031 6 27
S18011 5 165
U00YT1 4 4
N04080 52 403
N38044 12 399
N29021 4 374
N29051 16 440
N18123 5 312
S09126 4 202
N07012 32 291
N12016 35 380
S09023 12 304
N09115 8 218
N09004 25 330
N12116 8 380
N57033 6 90
N21021 16 392
S09059 20 259
N32002 4 309
N04068 33 404
N04002 32 299
N43064 13 234
2002LZ11 4 4
FC2303 4 12
S18056 4 117
N60041 11 100
U38077 3 4
S04006 14 286
S15029 1 190
U00016 8 8
USZ001 8 8
U667AD 4 4
S18114 5 182
N60047 5 135
N12069 30 373
N01006 25 308
S21057 8 84
S21083 8 78
N18042 34 531
S07028 14 116
N57053 8 119
N07010 24 325
N35007 8 347
N09085 16 360
S23115 5 100
S18062 8 123
N04114 24 413
S01126 33 345
S12076 63 276
N07063 54 363
N29069 20 274
S21072 20 156
S04050 9 312
N21050 44 540
S18004 9 112
N43026 8 60
USWANE 3 8
N46060 5 198
S12010 12 234
S15066 12 171
N57051 12 169
FL0301 2 16
N15010 13 306
N57055 13 117
N18001 5 302
FD1605 4 12
N01002 43 233
N38069 24 325
N35048 12 360
S09076 61 297
N35085 4 10
S12012 8 230
N01053 30 414
S12029 1 234
S12113 28 350
N07064 46 398
N49032 8 238
S04073 64 353
USZ502 8 8
N01081 28 343
N21003 4 351
FC2704 4 28
N01064 75 378
S07023 17 331
N18031 4 22
test4 4 6
N04016 15 363
N29056 8 332
S23116 5 106
N15051 68 510
U03EA1 4 8
FC2301 4 24
FI2003 7 24
N09002 18 324
N01080 45 403
N18078 22 360
N12045 40 489
N23016 20 388
N04112 17 233
N29084 24 305
N23117 5 303
N09069 32 338
N21026 4 197
S01019 16 345
N07127 8 269
N18057 40 503
N26084 23 449
N52064 12 64
N01110 16 63
N23018 30 391
N09071 36 393
FA3003 4 32
S12064 28 268
FF0202 4 8
N15082 20 325
N18059 37 472
S21063 16 96
N15123 4 334
N09053 40 461
N55024 14 224
Uflatz 2 2
S18116 5 177
N04054 36 387
N12090 24 341
S12014 10 250
FA2702 4 20
N18061 28 448
N15124 8 309
FF1102 4 8
U00003 9 75
S01028 25 348
N01088 12 309
U667AB 4 4
N46059 5 203
N18094 5 14
S15060 4 144
S04014 16 298
FC1301 5 26
N01075 40 405
FJ1502 3 16
N15040 24 166
N07062 66 383
N26031 4 8
N26034 3 27
N09087 13 386
N07056 72 460
N35036 33 504
S01093 4 144
N04056 61 467
N23050 33 499
N63048 4 60
N35083 17 45
U00013 4 4
S23100 1 56
N09015 27 336
S09003 1 267
FE0208 4 4
S21098 4 4
N35009 12 324
test1 8 13
S01033 1 68
S04060 28 344
S07051 9 173
S07124 21 315
N40075 17 246
N04073 48 415
N26070 20 329
S15016 9 217
N60019 11 167
N07112 17 275
N40063 20 228
N09118 16 373
N32048 16 433
N07026 28 320
N46063 7 247
N46031 13 308
N07019 27 399
S21112 6 150
N32067 32 335
N04052 28 407
N04065 54 416
N38031 31 379
URIK07 8 8
U9189D 1 9
U153F7 1 4
U00006 8 40
FE0206 4 4
FH2703 4 8
S26068 9 69
N21072 25 213
N40043 20 290
N32053 19 377
N15078 20 377
N04035 1 26
S21029 2 88
N23115 5 323
S01082 44 356
N43058 15 227
S01047 9 348
N52028 13 227
N46045 9 200
N04045 16 411
S01004 12 274
N49057 2 154
S07081 18 284
N04048 40 448
S23077 17 81
S07113 24 413
FK1506 1 21
URIK02 8 8
N15019 32 459
N63043 1 106
S15078 24 231
N07017 29 379
N09082 49 395
N29087 8 51
S18009 8 166
N71030 1 65
N38061 16 280
N60020 11 175
S01014 12 292
FL1902 4 12
S15079 32 235
N09007 29 379
S18006 5 158
N09018 32 410
S09112 13 347
N07091 8 246
N32012 8 377
N18077 22 356
N29072 24 327
S29062 4 20
N52060 9 103
N07015 18 345
N29045 33 499
N38082 1 21
S21077 4 141
S21070 19 135
FE1901 4 17
S12019 9 256
S07024 17 335
S07088 12 311
N26111 4 320
N07049 23 457
S15109 30 324
N12019 37 408
S12011 11 238
N23083 36 435
N09056 64 391
N12002 6 328
N23080 40 398
URIK04 4 4
S26114 4 60
FE0304 16 20
N35015 9 346
N57052 8 154
FB1402 16 32
S01051 20 359
N21119 6 332
N49030 9 256
N52036 10 180
U84FE1 2 10
FC0102 4 16
N49031 9 243
S07013 16 284
N18058 34 463
N23082 36 403
N04090 11 314
S04110 8 168
N15121 7 376
N49034 4 226
S09028 15 145
N01078 39 394
N15054 44 490
N52057 4 169
FB1104 4 12
S21101 4 8
N23081 40 398
N07120 16 374
N12012 40 349
S04009 24 293
S04004 11 257
S01113 37 451
N01018 22 368
N15043 35 531
N15062 29 333
N07074 39 365
N52049 4 119
N55051 8 132
N57020 8 192
N26062 20 360
N07048 23 423
FD1902 4 13
N07044 20 414
S23065 8 60
UNEAT4 2 2
S18015 6 182
N04125 17 308
N43063 15 233
N07117 17 366
N35042 17 370
N18012 21 340
N09003 19 354
S09087 16 280
S09056 9 256
N18054 36 509
S15014 8 221
S04084 33 331
S21106 12 174
S01020 17 332
S04002 23 258
S21084 12 78
N52065 8 28
